3090 82 102400 [2, 82, 102400, 512, 128, 128] 64x64_32x16_2
3090 82 102400 [2, 82, 102400, 512, 128, 128] 64x64_32x16_0
3090 82 102400 [2, 82, 102400, 512, 128, 128] 64x32_16x32_0
3090 82 102400 [2, 82, 102400, 512, 128, 128] 64x64_16x32_0
3090 82 102400 [2, 82, 102400, 512, 128, 128] 128x64_128x16_4
3090 82 102400 [2, 82, 102400, 512, 128, 128] -1
3090 82 102400 [2, 82, 102400, 512, 512, 128] 128x64_128x16_4
3090 82 102400 [2, 82, 102400, 512, 512, 128] 64x64_32x16_0
3090 82 102400 [2, 82, 102400, 512, 512, 128] 64x64_16x32_0
3090 82 102400 [2, 82, 102400, 512, 512, 128] 64x64_32x16_2
3090 82 102400 [2, 82, 102400, 512, 512, 128] 64x64_64x8_0
3090 82 102400 [2, 82, 102400, 512, 512, 128] -1
3090 82 102400 [2, 82, 102400, 512, 128, 512] 64x64_32x16_2
3090 82 102400 [2, 82, 102400, 512, 128, 512] 128x64_128x16_4
3090 82 102400 [2, 82, 102400, 512, 128, 512] 64x64_16x32_2
3090 82 102400 [2, 82, 102400, 512, 128, 512] 64x64_32x16_0
3090 82 102400 [2, 82, 102400, 512, 128, 512] 64x64_16x32_0
3090 82 102400 [2, 82, 102400, 512, 128, 512] -1
3090 82 102400 [2, 82, 102400, 512, 1024, 64] 64x64_32x16_0
3090 82 102400 [2, 82, 102400, 512, 1024, 64] 64x64_16x32_0
3090 82 102400 [2, 82, 102400, 512, 1024, 64] 64x64_64x8_0
3090 82 102400 [2, 82, 102400, 512, 1024, 64] 128x64_128x16_4
3090 82 102400 [2, 82, 102400, 512, 1024, 64] 64x32_16x32_0
3090 82 102400 [2, 82, 102400, 512, 1024, 64] -1
3090 82 102400 [2, 82, 102400, 512, 128, 512] 64x64_32x16_2
3090 82 102400 [2, 82, 102400, 512, 128, 512] 128x64_128x16_4
3090 82 102400 [2, 82, 102400, 512, 128, 512] 64x64_16x32_2
3090 82 102400 [2, 82, 102400, 512, 128, 512] 64x64_32x16_0
3090 82 102400 [2, 82, 102400, 512, 128, 512] 64x64_16x32_0
3090 82 102400 [2, 82, 102400, 512, 128, 512] -1
3090 82 102400 [2, 82, 102400, 512, 256, 256] 64x64_32x16_2
3090 82 102400 [2, 82, 102400, 512, 256, 256] 128x64_128x16_4
3090 82 102400 [2, 82, 102400, 512, 256, 256] 64x64_32x16_0
3090 82 102400 [2, 82, 102400, 512, 256, 256] 64x64_16x32_0
3090 82 102400 [2, 82, 102400, 512, 256, 256] 64x32_16x32_0
3090 82 102400 [2, 82, 102400, 512, 256, 256] -1
3090 82 102400 [2, 82, 102400, 512, 1024, 256] 128x64_128x16_4
3090 82 102400 [2, 82, 102400, 512, 1024, 256] 64x64_32x16_0
3090 82 102400 [2, 82, 102400, 512, 1024, 256] 64x64_16x32_0
3090 82 102400 [2, 82, 102400, 512, 1024, 256] 64x64_32x16_2
3090 82 102400 [2, 82, 102400, 512, 1024, 256] 128x32_32x32_0
3090 82 102400 [2, 82, 102400, 512, 1024, 256] -1
3090 82 102400 [2, 82, 102400, 512, 256, 512] 64x64_32x16_2
3090 82 102400 [2, 82, 102400, 512, 256, 512] 128x64_128x16_4
